,question
67,what is the number of relapsing fever when malaria is 3000
68,what is the typhoid fever number for the year 1934
69,What are all the typhus number when smallpox is 4
70,what is the number of smallpox when typhoid fever is 293
71,what is the typhoid fever number for the year 1929
72,"How many schools are in Bloomington, IN?"
73,How many of the schools are designated private/Presbyterian?
74,In what year was Lindenwood University founded?
75,"How many of the schools listed are in Ames, IA?"
76,What is the capital (endonym) where Douglas is the Capital (exonym)?
77,How many countries (endonym) has the capital (endonym) of Jakarta?
78,What is the country (exonym) where the official or native language(s) (alphabet/script) is Icelandic?
79,In which country (endonym) is Irish English the official or native language(s) (alphabet/script)?
80,Which country (exonym) is the country (endonym) isle of man ellan vannin?
81,"The season premiere aired on September 11, 2000 aired on how many networks? "
82,"What was the ranking of the season finale aired on May 8, 2006? "
83,what is the minimum population canada 2011 census with seat of rcm being cowansville
84,what's the land area with seat of rcm being granby
85,What is the population for County Mayo with the English Name Carrowteige?
86,What is the Irish name listed with 62% Irish speakers?
87,What is the population for the Irish Name Leitir mealláin?
88,What is the county for the Irish name Carna?
89,How many County Kerry have 53% Irish speakers?
90,What is the population for the English name Spiddal?
91,What is the the Chinese population for the state that has a Filipino population of 1474707?
92,How many States have an Indian population of 30947?
93,What is Australia's role in the UN operation Unama?
94,"What is the UN operation title with the UN operation name, Uncok?"
95,How many Australians were in the UN commission on Korea?
96,When was it where 65 Australians were involved in the UN?
97,What year is the season with the 10.73 million views?
98,What is the season year where the rank is 39?
99,What is the number of season premieres were 10.17 people watched?
100,What is the year of the season that was 12?
101,In 2012 what was the average finish?
102,How many wins happened in 1983?
103,How many top tens had an average start of 29.4?
104,How many poles had an average finish of 19.1?
105,How many starts did Hendrick motorsports have?
106,NHL players are all centre in Florida panthers.
107,NHL team player San Jose Sharks is United States nationally.
108,All players are position mark polak.
109,Position in nhl team centre are all smaller pick than 243.0
110,What college/junior/club teams do the players from the St. Louis Blues come from?
111,What teams do the players from TPS (Finland) play for?
112,What high school team did Doug Nolan play for?
113,What club team is Per Gustafsson play for?
114,What is the nationality of Shayne Wright?
115,How many votes did Southern England cast whilst Northern Ireland cast 3?
116,What is the total number of votes if Scotland cast 35?
117,How many votes did Northern Ireland cast if the total was 35?
118,How many votes did Wales cast when Northern England cast 6?
119,What teams had 9 in the top 5 and 1 wins?
120,What teams did the player vadim sharifijanov play for?
121,What positions do the hartford whalers nhl team have?
122,"What is the smallest pick for the player, brett lindros?"
123,"What positions does the college/junior/club team, molot perm (russia) have?"
124,The nhl team new york islanders is what nationality?
125,What is the name of the vacator for district Louisiana 1st?
126,What is the notion when the crystal structure is tetragonal and the formula is bi 2 sr 2 cacu 2 o 8
127,How many times is the formula tl 2 ba 2 cuo 6?
128,What is the crystal structure for the formula yba 2 cu 3 o 7?
129,What is the number for t c (k) when the notation is tl-2212?
130,How many 2010 estimations have been done in the city of Cremona?
131,What's the 2001 census of the region of Abruzzo where the 1871 census is bigger than 51092.0?
132,What's the 1991 census of the city of Carpi?
133,How many 2001 censuses are there on number 13?
134,What's the 1981 census of Livorno?
135,Which NHL team has player Mike Loach?
136,What is the NHL team that has Peter Strom?
137,What team is Keith Mccambridge on?
138,How many nationalities are the pick 193?
139,"Who was the succesor that was formally installed on November 8, 1978?"
140,How many songs received a 10 from Goodman and were rated by Tonioli?
141,"What score did Goodman give to all songs with safe results, which received a 7 from Horwood and have a total score of 31?"
142,"What score did Dixon give to the song ""samba / young hearts run free"", which was in second place?"
143,"How many scores did Goodman give to ""samba / young hearts run free"", which was in second place?"
144,What year was number 7 built?
145,What is we two when the case/suffix is loc.?
146,What is them two (the two) when we two is ngalbelpa?
147,What is them two (the two) when you and i is ngœbalngu?
148,What is who-two where you and i is ngœban?
149,What is we two where you two is ngipen?
150,What is who-two when you two is ngipelngu?
151,what's the points with driver  mark martin
152,what's the points with driver  rusty wallace
153,what's the total number of position with driver  robby gordon
154,"what's the maximum position with winnings  $50,000"
155,What actor was nominted for an award in the film Anastasiya Slutskaya?
156,What was the film Falling up nominated for?
157,What is the name of the actress that was nominated for best actress in a leading role in the film Chopin: Desire for love?
158,What is the name of the actress that was nominated for best actress in a leading role in the film Chopin: Desire for love?
159,Which films does the actor Alla Sergiyko star in?
160,Which nominations was the film 27 Stolen Kisses nominated for?
161,Which actor from Serbia was nominated for best actor in a supporting role?
162,Vsevolod Shilovskiy is from what country?
163,Which nominations are connected to the film Totalitarian Romance?
164,Srdjan Dragojevic worked on a film which earned what nomination?
165,Which actors are from Ukraine?
166,What was the film that vadim ilyenko directed?
167,What was the actors name that vadim ilyenko directed?
168,What was the actors name for fuchzhou and nomination was best non-professional actor?
169,What film did michaylo ilyenko make with best actor in a supporting role?
170,What was the actor's name for best debut?
171,What was the number of nominations for natalia raskokoha?
172,When FA Cup Apps is 9 what is the smallest number of FA Cup Goals?
173,What circuit was the race where Hideki Mutoh had the fastest lap?
174,"what is the minimum production code with title ""foreign exchange problem / turn about"""
175,"what is the episode # for title ""the yindianapolis 500 / personality problem"""
176,what is the episode # for production code 227
177,who directed the movie written by is sib ventress / aydrea ten bosch
178,"what is the production code with title ""skirting the issue / moon over my yinnie"""
179,HOW MANY TEMPERATURE INTERVALS ARE POSSIBLE TO USE WITH ACRYL? 
180,How many matches where played with Jim Pugh?
181,What is the score with partner Jim Pugh?
182,"How many matched scored 3–6, 7–6(5), 6–3?"
183,What is the score of the match with partner Jim Pugh?
184,What year was the championship in Wimbledon (2)?
185,What is the score of the match with opponents Gretchen Magers Kelly Jones?
186,How many birthdays does Earl Hanley Beshlin have?
187,"Which politican party has a birthday of November 10, 1880"
188,"Which representative has a birthday of January 31, 1866?"
189,What is the Singles W-L for the players named  Laurynas Grigelis?
190,What is the Current singles ranking for the player named Mantas Bugailiškis?
191,How many playerd Mrs. Darling in the 1999 Broadway?
192,Who played Peter Pan in the 1990 Broadway?
193,Who played in the 1991 Broadway before Barbara McCulloh played the part in the 1999 Broadway?
194,Who played in the 1990 Broadway after Tom Halloran played the character in the 1955 Broadcast?
195,What character did Drake English play in the 1998 Broadway?
196,What date was BBC One total viewing greater then 11616996.338225884?
197,How many years did BBC One rank 20th?
198,"What year was the BBC two total viewing 7,530,000?"
199, how many ↓ function / genus → with escherichia being espd
200,what's the salmonella with escherichia being espd
201,what's the ↓ function / genus → with shigella being spa32
202,what's the salmonella with shigella being ipgc
203,what's the salmonella with escherichia being sepb (escn)
204,what's the shigella with yersinia being yscp
205,How many original titles did Marriage Italian-Style have? 
206,What year was a movie with the original title La Leggenda del Santo Bevitore submitted?
207,"what's the camp with estimated deaths of 600,000"
208,what's the operational period with camp  sajmište
209,what's the estimated deaths with operational period of 17 march 1942 – end of june 1943
210,what's the current country of location with operational period  of summer of 1941 to 28 june 1944
211,"what's the occupied territory with estimated deaths of 600,000"
212,what's the occupied territory with operational period of may 1940 – january 1945
213,Which overall pick was traded to the Cleveland Browns?
214,Overall pick 240 was a pick in which round?
215,Which overall pick number went to college at Youngstown State?
216,What position is played by pick 255 overall?
217,Which player was chosen in round 17?
218,The record of 7-3 had the largest attendance of what?
219,The record of 9-4 was against which opponent?
220,The game number of 8 had a record of what?
221,What round was Steve Stonebreaker drafted?
222,What round was Bill Hill drafted?
223,What was the name of the quarterback drafted?
224,Where is the college where Keith Hartwig plays?
225,What is the name of the linebacker at Illinois college?
226,What is the greatest round of overall 83?
227,Which round did Tommy Kramer play in>
228,What is Rice's collage score?
229,Where does the defensive back position appear first?
230,What is Bruce Cerone overall?
231,Which player went to Emporia State?
232,What college did Bill Cappleman go to?
233,"For the headstamp id of h2, what was the color of the bullet tip?"
234,"For the functional type of light ball, what were the other features?"
235,How many primers annulus colors were there when the color of the bullet tip was white?
236,How many bullet tips colors had other features of a blue band on case base?
237,How many touchdowns were scored in the year with a completion percentage of 56.0?
238,What number of completions are recorded for the year with 12 games started?
239,How many years were there with 348 attempts?
240,How many characters is by Babs Rubenstein?
241,Which person is in the tronto/broadway and has a uk tour of n/a
242,How many people play Frank in London?
243,Who was Class AAA during the school year of 2000-01?
244,Who was Class AAA during the same year that Class A was (tie) Apple Springs/Texline?
245,Who was Class AAAAA during the school year of 1995-96?
246,Who was Class AAA during the same year that Class AAAAA was Brownsville Pace?
247,What was the total number of Class AAA during the same year that Class AAA was White Oak?
248,"How many records are listed on Friday, May 25?"
249,"How many opponents were played on Saturday, June 9?"
250,In what week was the first game played at the Commerzbank-Arena?
251,What was the original air date of an episode set in 1544?
252,How many settings where there for episode 29 of the season?
253,"Who wrote the episode that was set in winter 1541/february 13, 1542?"
254,"What episode number of the season was ""The Northern Uprising""?"
255,What is the name of the track that lasts 5:30?
256,What is the album namethat has the track title Sweetness 甜甜的 (tián tián de)?
257,What is the duration of the song where the major instrument is the piano and the date is 2004-02-03?
258,What is the total number of lyricist where the lyrics theme is romance and the song lasts 3:50?
259,What is the major instrument of the song that lasts 4:32? 
260,What is the total number of music genre/style in which the lyrics are a detective story?
261,What is the playoffs for the usl pro select league?
262,What is the number of the division for the 1st round?
263,What was the team where series is formula renault 2.0 nec?
264,What is the total number of poles for arden international?
265,What is the number of wins for gp2 series for racing engineering?
266,What is the number of podiums for season 2010 for campionato italiano superstars.
267,What is the podium for 144 points?
268,"How many writers had an US air date of september 25, 1993?"
269,How many villians were in No. 25?
270,"what being the maximum year where regular season is 4th, northwest"
271,"what is the total number of playoffs where regular season is 6th, southwest"
272," what's the league where regular season is 2nd, northwest"
273,what are all the regular season where year is 2011
274,How many titles have the number 11
275,How many have Mrs. briar as a villain
276,how many have the number 8
277,"How many have the title ""the tale of the room for rent"""
278,What is the name of the episode told by Kiki and directed by Will Dixon?
279,"Who is the storyteller in the episode called ""The Tale of the Jagged Sign""?"
280,Who wrote Episode #3?
281,"Who are the villains in the episode titled ""The Tale of the Forever Game""?"
282,"How many villains appeared in the episode titled ""The Tale of the Virtual Pets""?"
283,Who are the villains in the episodes where Megan is the storyteller and Lorette LeBlanc is the director?
284,What is the largest # for an episode that was written by Allison Lea Bingeman?
285,Name the species when petal width is 2.0 and petal length is 4.9
286,Name the sepal width for i.virginica with petal length of 5.1
287,Name the number of species with sepal width of 3.4 and sepal length of 5.4
288,Name the sepal length for sepal width of 2.8 and petal length of 5.1
289,Name the sepal width when sepal length is 6.5 and petal width is 2.2
290,Name the sepal lengh when sepal width is 2.9 and petal width 1.3
291,Who is the director and what number is the episode for episode #1 of Are You Afraid of the Dark season 3?
292,Who is the director of the episode whom Scott Peters is the writer?
293,Who is the villain in episode #7?
294,Who wrote episode #1 in season 7?
295,When did the episode written by Jim Morris air?
296,What was Datsun Twin 200's fastest lap?
297,"In the Datsun Twin 200 race, what was the fastest lap?"
298,What's the report for the True Value 500?
299,What was Johnny Rutherford's fastest lap while Al Unser was the pole position?
300,What's the report on Penske Racing winning while the pole position was Al Unser?
301,"Which countries have a scouting organization that was founded in 1926, and joined WOSM in 1930?"
302,"Does Venezuela admit only boys, only girls, or both?"
303,"Which organizations were founded in 1972, but became WOSM members until 1977?"
304,"Does the Scout Association of Hong Kong admit boys, girls, or both?"
305,"Does the Ghana Scout Association (founded in 1912) admit boys, girls, or both?"
306,What is the model number introduced May 1999?
307,What is the print resolution (FPI) for December 2002?
308,What is the maximum memory for the model discontinued in November 2001?
309,What is main presenters of La Granja?
310,What is the main presenter of bulgaria?
311,How many winners are there of farma?
312,What is the most cup goals for seasson 1911-12?
313,What is the league apps for season 1923-24?
314,What is the team for season 1911-12?
315,what's the minimum attendance with score  10.16 (76) – 9.22 (76)
316,who's the premier with in 1970
317,who are all the runner-up for premier in richmond
318,what is the minimum attendance with score 8.16 (64) – 8.12 (60)
319,How many mileposts are there on Anne Street?
320,Which street is 12.2 miles long?
321,Where does Route 24 intersect?
322,Where is milepost 12.8?
323,What is the minimum amount for wool for 2001-02?
324,Who were the operational owners during the construction date of April 1892?
325,Where can you find Colorado and Southern Railway #9?
326,"What is the wheel arrangement for the train in Riverdale, Georgia?"
327,When was the train 2053 built?
328,How many wheels does the train owned by Texas and New Orleans Railroad #319 have?
329,Which college has the men's nickname of the blazers?
330,Name the joined for the wolfpack women's nickname
331,Name the left of the Lady Pilots.
332,"Name the women's nickname when the enrollment is 1500 in mobile, Alabama."
333,"Which conference is in Jackson, Mississippi?"
334,What is the men's nickname at the school that has the lady wildcats women's nickname?
335,"What is the Mens Nickname for the member location of Jacksonville, florida?"
336,What is the enrollment for the institution that was founded in 1866 and is a private/(african methodist) type?
337,"That is the year founded for the institution location of Nashville, Tennessee?"
338,What is the year the institution Tougaloo College joined?
339,What is the date of vacancy when the date of appointment is 28 november 2007 and replaced by is alex mcleish?
340,What is the date of appointment when the date of vacancy is 21 december 2007?
341,Who replaced when team is wigan athletic?
342,What is the date of vacancy when the team is manchester city and replaced by is mark hughes?
343,What is the date of appointment when replaced by is roy hodgson?
344,Who replaced when position in table is pre-season?
345,How many games had a score value of 813.5 in post-season play?
346,Did any team score games that totaled up to 860.5?
347,What was the score of the game when the team reached a record of 6-9?
348,What type institution is point park university
349,"How many institutions are located in wilmore, kentucky and private"
350,point park university is what type of institution
351,how many founded dates are listed for carlow university 1
352,"Who wrote the episode titled ""black""?"
353,"Who are the writers for the episode ""solo""?"
354,what is the original air date of the episode no in season 9?
355,"What is the title of the episode written by denis leary, peter tolan and evan reilly?"
356,"How many episodes were titles ""voicemail""?"
357,When was Kamba active?
358,What was the cyclone's pressure in the storm that death was equal to 95km/h (60mph)?
359,What were the active dates for the storm that had 185km/h (115mph) deaths?
360,What was the damage (usd) from the cyclones that measured 1003hPa (29.62inHg) pressure?
361, what's the average where high score is 120
362, what's the player where 50 is 2 and n/o is 0
363, what's the player where inns is 21
364,Which general election had a pq majority and a 44.75% of the popular vote?
365,What is the least number of candidates running were there when 80 seats were won?
366,How many seats were won in the election with 125 candidates?
367,How many people attended the game against the indianapolis colts?
368,"On december 16, 1985, all the records were what?"
369,How many results are there for the 0-4 record?
370,"How many weeks are there that include the date October 11, 1969."
371,"How many weeks are there that include the date November 9, 1969."
372,How many records are there at the War Memorial Stadium?
373,"What was the minimum attendance on December 7, 1969?"
374,What week corresponds to the last one to be played at the memorial stadium?
375,In which stadium is the week 5 game played?
376,In Penney's game what is the probability where the 1st player wins if the probability of a draw is 8.28% and the 2nd player chooses B BR?
377,"If the first player chooses RB B, what is the second player's choices?"
378,What is the probability where the second player wins where their choice is R RB and the first player has a 5.18% chance of winning?
379,What are the chances the first player will win if the 2nd player has an 80.11% chance of winning with the choice of R RB?
380,What are the chances that player 2 wins if player 1's choice is BB R?
381,How high is the chance that player 1 wins if player 2 has an 88.29% chance of winning with the choice of R RB?
382, what is the nfl team where player is thane gash
383,what is the maximum pick # where player is anthony blaylock
384, what's the nfl team where player is clifford charlton
385, what's the position where player is anthony blaylock
386,what is the minimum pick # where position is defensive tackle
387,Which province has a density of 971.4?
388,What is Friesland's gdp per capita?
389,What is the area of the place that has a population density of 331.4?
390,Which province has a gdp of 38355€  million euros?
391,What is the population estimate for the place that gad a 18496€  million euro gdp?
392,"What is the title when original air date is may15,2008?"
393,Who directed the episode where u.s. viewers (million) is 12.90?
394,"How many episodes aired in Region 2 beginning May 26, 2008?"
395,What date did the DVD for season six come out in region 2?
396,"What DVD season/name for region 2 was released August 22, 2010?"
397,How many points for 2005?
398,what is the score for the dams?
399,how many positions in 2009?
400,Which series with 62 points?
401,What is the total for 10th position?
402,how many reports of races took place on october 16?
403,what is the name of the report that lists the race name as long beach grand prix?
404,what is the report called where the circuit took place at the nazareth speedway?
405,what is the name of the race where newman/haas racing is the winning team and rick mears is at the pole position?
406,meadowlands sports complex is the circuit at which city/location?
407,What is the literacy rate for groups that grew 103.1% between 1991 and 2001?
408,What is the lowest child sex ratio in groups where employment is 31.3%?
409,What is the population percentage of the group where the rural sex ratio is 953?
410,"What is the original air date for the title ""felonious monk""?"
411,What is the title of the episode directed by Peter Markle and written by Jerry Stahl?
412,"How many episodes were titled ""identity crisis""?"
413,Who does the lap-by-lap in 2011?
414,Which network has Marty Reid as host and lap-by-lap broadcaster?
415,How many pre-race analysis occur when Allen Bestwick does the lap-by-lap?
416,"When did the episode titled ""Lucky Strike"" air for the first time?"
417,"Who was the writer of the episode titled ""One Hit Wonder""?"
418,What's the date of the first airing of the episode with series number 63?
419,How many titles got a viewership of 26.53 million?
420,How many viewers tuned into the show directed by Matt Earl Beesley?
421,Who wrote episode 94?
422,Which episode was the number in the season where the number in the season is 10?
423,"How many episodes were in the season that had the epiosde of ""crow's feet""?"
424,When did the 113 episode air?
425,How many titles were there for the 113 episode?
426,What is the number in the season that Marlene Meyer wrote and 20.49 million people watched?
427,When did the no. 23 show originally air?
428,Which circuits had a race on October 4?
429,In which reports does Michael Andretti have the pole position and Galles-Kraco Racing is the winning team?
430,How many rounds were there of the Bosch Spark Plug Grand Prix?
431,Which rounds were held on August 9?
432,On how many dates did the Michigan International Speedway hold a round?
433,Name the total number of bids of the sun belt conference
434,Name the round of 32 in conference usa
435,What is the record when round of 32 is 0 and metro atlantic conference?
436,What is the number of bids with elite eight larger than 1.0
437,Who directed the episode with production code 7aff03?
438,What is the title of the episode wtih 10.34 million U.S viewers?
439,What place is the team that completed 6 races?
440,"how much did the british formula three called ""fortec motorsport"" score?"
441,how many races were in 2009 with 0 wins?
442,What years did art grand prix compete?
443,What year had a score of 9?
444,what is the greatest number of wins by japanese formula three?
445,Who took test #4?
446,What episode aired on 18 April 2007?
447,Who had the challenge of night driving?
448,How many directors were there for the film Course Completed?
449,Who directed El Nido?
450,Who directed Dulcinea?
451,What are the slovenian names of the villages that had 65.9% of slovenes in 1951?
452,What are the slovenian names of the villages that had 16.7% of slovenes in 1991?
453,How many villages had 21.7% of slovenes in 1991?
454,what percent of slovenes did the village called čahorče in slovenian have in 1991?
455,What is the slovenian name for the village that in german is known as st.margarethen?
456,"For games on December 20, how many points did the scoring leaders get?"
457,Who was the scoring leader and how many points did he get in games on December 23?
458,What is the pick # for the position de?
459,Which player went to college at Saint Mary's?
460,What is the position for the player with cfl team Winnipeg blue bombers?
461,Which player went to college at Laval?
462,What was the college for the player with the cfl team of Edmonton Eskimos (via calgary)?
463,What's the team of the player from St. Francis Xavier College?
464,What player is on the Montreal Alouettes CFl team?
465,What's the pick number of the player from Toronto Argonauts?
466,What's the pick number of the player whose position is CB?
467,What's the pick number of the player from New Mexico?
468,What player went to Ohio State College?
469,What is the minimum introduced value for the Departmental region?
470,Which CFL Teams drafted an OL in 2006?
471,Which college is aligned to the Saskatchewan Roughriders?
472,What Position did the Hamilton Tiger-Cats (via Ottawa) pick in the 2006 Draft.
473,What episode number had production code e4423?
474,What's the latest episode in a season where the U.S. viewers totaled 14.37 million?
475,"Who directed the episode ""Escape""?"
476,"How many seasons is the season finale on May 26, 2010?"
477,"What episodes are there where the season premier is September 23, 2009?"
478,What is the season finale for season 4?
479,How many season premiers have a rank of #21?
480,"What are the seasons where September 26, 2007 is the season premier?"
481,What max processor has a maximum memory of 256 gb?
482,What is the max memory of the t5120 model?
483,"What ga date do the models with 1.0, 1.2, 1.4ghz processor frequencies have?"
484,What is the ga date of the t5120 model?
485,What is the sport of the La Liga league?
486,What's the minimum total attendance of the Premier League association football?
487,What's the average attendance of the leagues in the season of 2013?
488,What's the total attendance of the leagues in season of 2010?
489,Who were the directors of the film submitted with the title Young Törless?
490,What was the original title of the film submitted with the title A Woman in Flames?
491,In what years was a film submitted with the title The Enigma of Kaspar Hauser?
492,Who were the directors of the film with the original title o.k.?
493,What is the division for the division semifinals playoffs?
494,"What is the number in series of ""say uncle""?"
495,What is the title written by David Mamet?
496,What was the finale for 潮爆大狀
497,What was the finale for  潮爆大狀
498,How many viewers were there for the premier with 34
499,How many are listed under 潮爆大狀
500,Who was the director of the episode with a production code of 2393059?
501,"How many people wrote ""Michael's Game""?"
502,"When did the episode title ""Duet For One"" air?"
503,Which episode had 16.38 million U.S. viewers?
504,"What is the production code of the episode written by José Molina that aired on October 12, 2004?"
505,"What was the original air date of the episode ""Quarry""?"
506,Which episode was directed by Jean de Segonzac?
507,what are the original air dates with a production code of 2394087
508,"Who are the writers for the title ""boxing sydney"""
509,"What are the production codes for the title ""all about brooke"""
510,Who are the writer(s) for the production code 2394084
511,What's the total number of episodes with the production code 2395113A?
512,"What's the number of the episode called ""Melrose Unglued""?"
513,Who's the writer for the episode with a production code 2395114?
514,"Who directed the episode titled ""Full Metal Betsy""?"
515,What's the number of the episode with production code 2395118?
516,Who was the writer for the episode with production code 2395096?
517,What generation of spectrograph is most likely to detect a planet with a radial velocity of 0.089 m/s?
518,How long is the orbital period for the planet that has a semimajor axis of 5.20 au?
519,What generation of spectrograph is Jupiter detected by?
520,Which planet has an orbital period of 11.86 years?
521,who directed the production code 2398204
522,"when did ""unpleasantville"" air?"
523,What is player Alexis Bwenge's pick number?
524,What player is pick #2?
525,Which player's college is Saskatchewan?
526,What is McMaster College's pick number?
527,"when was the episode named ""the doctor is in... deep"" first broadcast "
528,"how many times does the episode called ""coop de grace"" appear "
529,what is season 6 sum of both the number of times processing ID 2397162 was assigned and the number of times chip chalmers managed an episode 
530,Which player went to Michigan State?
531,Which player went to college in Oklahoma?
532,Which position does Colt Brennan play?
533,What is the height of the person that weighs 320 pounds?
534,How many colleges have a DB position?
535,What is the maximum number of picks for the CFL team Calgary Stampeders?
536,How many CFL teams are from York college?
537,What CFL teams are part of Simon Fraser college?
538,Which players have a pick number of 27?
539,How many times were players named brett ralph were selected?
540,What schools did lenard semajuste play for?
541,What is the highest selection number for the saskatchewan roughriders team?
542,How many fb players were drafted?
543,How many players played for adams state school?
544,What teams drafted players that played for northwood school?
545,What college did Craig Zimmer go to?
546,What is the pick number of regina?
547,What is the player who is lb and cfl team is saskatchewan roughriders?
548,What is the cfl team that has a position of ol?
549,What is the number of position where the pick number is 43?
550,What is the cfl team with ryan folk?
551,What release date is when kids-270 is a reference? 
552,what is the title where romaji is titles da.i.su.ki
553,what are the title in japanese where the reference is kids-430?
554,who is the reference when romaji title is heartbreak sniper?
555,What rank is 愛のバカ on the Japanese singles chart?
556,How many songs have mi-chemin as their Japanese name and romanji name?
557,What was the  partial thromboplastin time for factor x deficiency as seen in amyloid purpura
558,How many conditions have an unaffected prothrombin time and a prolonged bleeding time
559,What was the bleeding time for the factor x deficiency as seen in amyloid purpura
560,What conditions had both prolonged bleeding times and prolonged partial thromboplastin times
561,What was the bleeding time for  factor xii deficiency
562,What were the bleeding times when both the platelet count was unaffected and the partial thromboplastin time was unaffected
563,what's the tuesday time with location being millhopper
564,what's the wednesday time with monday being 10:00-8:00
565,what's the thursday time with location being hawthorne
566,what's the saturday time with wednesday being 10:00-5:00
567,what's the thursday time with sunday being 1:00-5:00 and tuesday being 1:00-7:00
568,what's the monday time with tuesday being 9:00-6:00
569,What are all the reports where Paul Tracy had the fastest lap?
570,Who drove the fastest lap at the Tenneco Automotive Grand Prix of Detroit?
571,Who had the fastest lap in the races won by Max Papis?
572,"In Round 6, how many winning drivers were there?"
573,What are the original names of the districts where the population in the 2010 census was 210450?
574,What is the original name of the district with the current English name of South Bogor?
575,What is the listed population from the 2010 census of West Bogor?
576,How many districts have an area of 17.72 KM2?
577,What is the area in km2 for the district whose original name was Kecamatan Bogor Timur?
578,What is the number of colour with the regisration number of mg-509?
579,What is the title of the episode directed by Mark Tinker?
580,What episode in the season was directed by Jeff Melman?
581,How many episodes had 16.03 million viewers?
582,"What is the number of interregnum for duration 3 months, 6 days?"
583,Who directed Episode 8?
584,"Who directed the episode called ""Tell-tale Heart""?"
585,What was the original air date for Series 36?
586,Who wrote Series 38?
587,"What is the percentage for manhattan 45,901?"
588,Who won the 1973 democratic initial primary for queens of 19%?
589,What is the manhattan for richmond 35%?
590,What is the queens where richmond staten is 42%?
591,what's the party with brooklyn value of 51.0%
592,what's the brooklyn with queens value of 16.8%
593,what's the % with total value of 249887 and queens value of 6.8%
594,Which teams were in the central division and located in livonia?
595,Which teams are located in highland township?
596,What conference was the churchill chargers team in?
597,What was the titles of the episodes written by ken lazebnik?
598,Who directed an episode that had 2.81 million U.S. viewers?
599,What were the names of the episodes that had 3.02 million U.S. viewers?
600,"What were the original air dates of the episode named ""winds of war""?"
601,Who directed episodes that had 2.61 million U.S. viewers?
602,"How many millions of U.S. viewers watched ""Brace for Impact""?"
603,"How many millions of U.S. viewers watched the episode that first aired on March 31, 2013?"
604,Who wrote the episodes that were viewed by 2.12 million viewers?
605,The episode written by Rebecca Dameron aired on what date? 
606,Which episode in the series drew 3.6 million U.S. viewers? 
607,"Who wrote the episode that aired on April 17, 2011? "
608,How many times did episode 79 originally air? 
609,"How many millions of views in the country watched ""Line of Departure""?"
610,What is the name of the shield winner in which the mls cup winner and mls cup runner up is colorado rapids?
611,What is the name of the shield winner in which the mls cup winner and mls supporters shield runner up is Chivas usa?
612,who is the of the shield winnerin which the mls cup runner-up and mls cup winner is real salt lake?
613,Which shield winner has the mls cup runner up and the season is 2000?
614,When total goals is 11 what was the league apps (sub)?
